id,created_at,text
320168661509890051,2013-04-05 13:38:52,In startup we are gamify site outage. Three outage and ops team is out.
315582364866736129,2013-03-23 21:54:33,Attention devops! Make of sure you have strong plan C. Plan A and B are never work.
315549020326088704,2013-03-23 19:42:03,"In startup we have great of capability for churn out solution. Please send problem,  we are pay good money."
314569699230875648,2013-03-21 02:50:35,You can not able spell business without BS.
314377846997000192,2013-03-20 14:08:14,In startup we are only use technology if is cover in blog of expert devops on benchmark is run on own laptop.
314029286015242240,2013-03-19 15:03:10,Cloud is not ready for enterprise if is not integrate with single server running Active Directory.
313322958997295104,2013-03-17 16:16:29,Fact of useless: 90% of data is not exist 2 year ago. Fact of use: 90% of data is useless.
311340681950007297,2013-03-12 04:59:37,Every PaaS can able be reduce to 120 Perl script.
311335361169195009,2013-03-12 04:38:29,In startup we are practice Outage Driven Infrastructure.
310251910970085377,2013-03-09 04:53:14,Dirty secret of Big Data is you can not able deploy if you not have SQL expert on staff.
310165414338494464,2013-03-08 23:09:32,You can not able have unlimit scalability without unlimit outage.
309699310252068864,2013-03-07 16:17:24,"Word ""impossible"" is not exist in devops vocabulary. Instead we are use ""done by Q4""."
309697856816701440,2013-03-07 16:11:37,For increase revenue we are introduce paywall between dev team and ops team.
308967739962322944,2013-03-05 15:50:24,50% of devops are confuse causation with correlation. Other 50% are just take wild ass guess.
308813859303604224,2013-03-05 05:38:56,"So many of enterprise Hadoop vendor, so little of time."
308619644472803328,2013-03-04 16:47:11,Correct ratio is 1 devops for 100 server because is not possible of ssh and give personalize attention on more server in 1 day.
307563665807273984,2013-03-01 18:51:06,In devops we have best minds of generation are deal with flaky VPN client.
306275097021407232,2013-02-26 05:30:48,Source of Microsoft and Hortonworks are tell me Hadoop for Windows is release as Excel plugin.
306086305723449344,2013-02-25 17:00:36,Source of Mozilla is tell me Firefox OS is write in HTML5 one-liner.
305515482465837056,2013-02-24 03:12:21,For every of stakeholder involve in your project is completion of project delay by 6 month.
305449864953729025,2013-02-23 22:51:37,In startup we can only able use maven if autocorrect is enable.
305443300238831616,2013-02-23 22:25:32,Every of social feature you are add to application is require double of number of database server.
305113251388203008,2013-02-23 00:34:02,Want of become enemy of ops? Install developer friendly product.
305098801314689024,2013-02-22 23:36:37,In startup we are have immediate open for frontend Erlang engineer.
305027246316474369,2013-02-22 18:52:17,In startup developer can able commit line of code only if other developer is remove line of code.
304846812253155328,2013-02-22 06:55:18,Is no I in backup.
304783850440105984,2013-02-22 02:45:07,In startup if you are call us you are speak with 3 human before robot is solve your problem.
304753002965762049,2013-02-22 00:42:32,Devops is mean never have for say sorry when you are use XML.
304739300963143681,2013-02-21 23:48:05,If you are windows devops I can able endorse you on LinkedIn immediate on reboot 50 web server every of hour!
302568889672417280,2013-02-16 00:03:39,In startup we are final master art of agile waterfall.
302542701247741954,2013-02-15 22:19:35,Devops is intersection of lover of cloud and hater of wake up at 3 in morning.
301366785628835840,2013-02-12 16:26:55,In startup we are work hard but then we are work harder.
300428644671684608,2013-02-10 02:19:05,In devops optimist is person which is see glass as 99.999% full.
300366176100421634,2013-02-09 22:10:51,I have often see grow devops cry because of spanning tree loop.
300092694452133888,2013-02-09 04:04:08,Conflict resolution is most important skill of manager. In startup we are force all manager for use git.
300037586523676672,2013-02-09 00:25:09,Pair programming is good concept but is involve too many programmer.
300001034896547840,2013-02-08 21:59:55,I manage of delegate 90% of time. 80% of delegate is to my self.
299919791349710849,2013-02-08 16:37:05,In startup we are celebrate teamwork by create many team of one.
299753252218605568,2013-02-08 05:35:19,"If is easy of use, then is hard of debug."
299700047484960769,2013-02-08 02:03:54,Source of Facebook is tell me only way of get rid of irritate error page is reboot internet.
299196332726431744,2013-02-06 16:42:19,Rockstar programmer are just as you and me but they can also able write insecure Ruby code.
299178520377192448,2013-02-06 15:31:32,Junior programmer is everybody can able understand your code is wrong. Senior programmer is nobody can able understand your code is wrong.
299176203691098112,2013-02-06 15:22:20,Small Data is when is fit in RAM. Big Data is when is crash because is not fit in RAM.
299162400270209024,2013-02-06 14:27:29,In startup we are leave critical bug in each of release so we can able fix in next release.
298948920359391232,2013-02-06 00:19:11,In devops is only necessary for remember two thing: 1) nothing is succeed like failure; 2) nothing is fail like success.
298942271137656832,2013-02-05 23:52:46,Is always user error. Especial in case of user which is operate core router.
298920431094747139,2013-02-05 22:25:59,Good thing of public cloud is you can able return it in 30 day.
298645834424258562,2013-02-05 04:14:50,Big advantage of run own private cloud is when is go down is only take your site down.
297153165365768192,2013-02-01 01:23:30,Two wrong are not make one right except in distributed database.
296648949568262144,2013-01-30 15:59:55,Every of MVC web application can able be reduce to 150 line Perl script.
296444127493627904,2013-01-30 02:26:02,If shit is never hit fan you are not get enough shit done.
295916270900092928,2013-01-28 15:28:31,Law of sales call: every of vendor is in top 1% of all vendor.
294880829572784129,2013-01-25 18:54:03,Every 2 day outage is start with wide eye dream of change world.
294677930372653056,2013-01-25 05:27:48,Graphite graph and Nagios check or has never happen.
292708173729636352,2013-01-19 19:00:41,Is always 2 problem in devops because they are out of sync.
